level_0,index,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native),token,date,chain,supply_ntv
5855,7257,2604.0,21895.0,537.0,536.0,631.0,170563379.8,863252641.3,7753089.198,-2625949.044,115691381.2,USDC.e,2021-09-01,avalanche,115691381.2
5861,7256,2752.0,24647.0,600.0,595.0,695.0,240238365.2,1103491007.0,3935534.313,-2760821.281,116866094.2,USDC.e,2021-09-02,avalanche,116866094.2
5902,7255,3014.0,27661.0,606.0,625.0,725.0,151787515.5,1255278522.0,13850111.62,-1440702.724,129275503.1,USDC.e,2021-09-03,avalanche,129275503.1
5927,7254,2280.0,29941.0,463.0,488.0,572.0,151680029.4,1406958551.0,13329621.17,-7358540.827,135246583.4,USDC.e,2021-09-04,avalanche,135246583.4
5948,7253,2139.0,32080.0,445.0,468.0,553.0,75319305.9,1482277857.0,1827366.291,-5605238.041,131468711.7,USDC.e,2021-09-05,avalanche,131468711.7
5968,7252,3180.0,35260.0,599.0,615.0,709.0,224357837.1,1706635694.0,2767500.927,-18066950.24,116169262.4,USDC.e,2021-09-06,avalanche,116169262.4
5982,7251,4797.0,40057.0,704.0,713.0,852.0,323949119.9,2030584814.0,3761220.427,-15086081.13,104844401.7,USDC.e,2021-09-07,avalanche,104844401.7
6020,7250,3552.0,43609.0,593.0,616.0,722.0,323811505.7,2354396320.0,52619753.63,-2302667.14,155161488.2,USDC.e,2021-09-08,avalanche,155161488.2
6039,7249,4179.0,47788.0,637.0,681.0,785.0,183939426.3,2538335746.0,5218822.446,-14985021.35,145395289.3,USDC.e,2021-09-09,avalanche,145395289.3
6050,7248,6032.0,53820.0,748.0,827.0,921.0,242268853.7,2780604600.0,14222635.02,-10843749.15,148774175.1,USDC.e,2021-09-10,avalanche,148774175.1
6094,7247,7579.0,61399.0,1205.0,1466.0,1583.0,135838604.3,2916443204.0,8143278.096,-2225415.299,154692037.9,USDC.e,2021-09-11,avalanche,154692037.9
6104,7246,9182.0,70581.0,1507.0,1739.0,1950.0,299939903.9,3216383108.0,20817654.04,-1915910.244,173593781.7,USDC.e,2021-09-12,avalanche,173593781.7
6122,7245,7743.0,78324.0,1118.0,1206.0,1459.0,214339464.6,3430722573.0,7191896.779,-2552713.424,178232965.1,USDC.e,2021-09-13,avalanche,178232965.1
6152,7244,5921.0,84245.0,1016.0,1038.0,1254.0,152589388.2,3583311961.0,40938663.38,-2999688.173,216171940.3,USDC.e,2021-09-14,avalanche,216171940.3
6180,7243,5823.0,90068.0,1141.0,1136.0,1351.0,241588796.8,3824900758.0,8614005.237,-5018910.88,219767034.6,USDC.e,2021-09-15,avalanche,219767034.6
6210,7242,7490.0,97558.0,1331.0,1542.0,1732.0,268890507.6,4093791265.0,19257753.95,-3049468.648,235975319.9,USDC.e,2021-09-16,avalanche,235975319.9
6236,7241,6879.0,104437.0,1310.0,1434.0,1655.0,370879160.0,4464670425.0,22441750.81,-4626634.803,253790435.9,USDC.e,2021-09-17,avalanche,253790435.9
6245,7240,8587.0,113024.0,1718.0,1868.0,2087.0,424676455.8,4889346881.0,22585981.04,-2644358.342,273732058.6,USDC.e,2021-09-18,avalanche,273732058.6
6275,7239,8291.0,121315.0,1554.0,1715.0,1952.0,505207180.0,5394554061.0,34110415.59,-3925453.241,303917021.0,USDC.e,2021-09-19,avalanche,303917021.0
6293,7238,12183.0,133498.0,1791.0,1973.0,2305.0,429494469.7,5824048531.0,15915084.03,-17144112.46,302687992.6,USDC.e,2021-09-20,avalanche,302687992.6
6334,7237,11434.0,144932.0,1614.0,1740.0,2114.0,286347071.9,6110395603.0,19390416.69,-13210694.12,308867715.1,USDC.e,2021-09-21,avalanche,308867715.1
6338,7236,9679.0,154611.0,1671.0,1677.0,2074.0,243858401.1,6354254004.0,31541605.82,-15626064.21,324783256.7,USDC.e,2021-09-22,avalanche,324783256.7
6361,7235,9223.0,163834.0,1752.0,1892.0,2228.0,255860556.2,6610114560.0,73941818.11,-7565662.389,391159412.5,USDC.e,2021-09-23,avalanche,391159412.5
6405,7234,10563.0,174397.0,1827.0,1866.0,2253.0,303641392.3,6913755952.0,30453532.33,-8644373.622,412968571.2,USDC.e,2021-09-24,avalanche,412968571.2
6427,7233,10929.0,185326.0,1734.0,1830.0,2107.0,153799798.3,7067555751.0,9442212.357,-5667091.154,416743692.4,USDC.e,2021-09-25,avalanche,416743692.4
6436,7232,8929.0,194255.0,1602.0,1646.0,1949.0,129790012.5,7197345763.0,7229861.338,-11222323.75,412751230.0,USDC.e,2021-09-26,avalanche,412751230.0
6460,7231,8889.0,203144.0,1740.0,1780.0,2132.0,121198025.3,7318543789.0,13881490.49,-5532418.439,421100302.0,USDC.e,2021-09-27,avalanche,421100302.0
6494,7230,10461.0,213605.0,1884.0,1951.0,2271.0,208973512.9,7527517302.0,15281908.17,-4468524.885,431913685.3,USDC.e,2021-09-28,avalanche,431913685.3
6515,7229,11516.0,225121.0,2023.0,2048.0,2438.0,172986484.2,7700503786.0,16233172.65,-11758253.76,436388604.2,USDC.e,2021-09-29,avalanche,436388604.2
6529,7228,9747.0,234868.0,1892.0,1916.0,2289.0,174462380.3,7874966166.0,14812292.07,-9440926.936,441759969.3,USDC.e,2021-09-30,avalanche,441759969.3
6565,7227,15085.0,249953.0,2185.0,2177.0,2567.0,151445698.8,8026411865.0,12719821.83,-8954214.88,445525576.2,USDC.e,2021-10-01,avalanche,445525576.2
6585,7226,10506.0,260459.0,1822.0,1914.0,2228.0,117669610.4,8144081475.0,12507042.06,-7380312.067,450652306.2,USDC.e,2021-10-02,avalanche,450652306.2
6601,7225,8714.0,269173.0,1607.0,1655.0,2001.0,105298320.8,8249379796.0,2258060.824,-10626557.55,442283809.5,USDC.e,2021-10-03,avalanche,442283809.5
6625,7224,19745.0,288918.0,3307.0,3353.0,3788.0,1134050194.0,9383429990.0,75813974.73,-116923396.8,401174387.4,USDC.e,2021-10-04,avalanche,401174387.4
6662,7223,19467.0,308385.0,3488.0,3499.0,4016.0,658601656.8,10042031646.0,37213168.12,-23625097.58,414762458.0,USDC.e,2021-10-05,avalanche,414762458.0
6678,7222,20372.0,328757.0,3516.0,3553.0,4058.0,696507209.9,10738538856.0,45113866.31,-38472696.74,421403627.5,USDC.e,2021-10-06,avalanche,421403627.5
6710,7221,17240.0,345997.0,2991.0,3035.0,3468.0,682153599.8,11420692456.0,58299349.29,-25081753.24,454621223.6,USDC.e,2021-10-07,avalanche,454621223.6
6738,7220,18139.0,364136.0,3166.0,3311.0,3737.0,925561836.1,12346254292.0,83642960.46,-14358515.84,523905668.2,USDC.e,2021-10-08,avalanche,523905668.2
